iter	RMSE
176	0.3187339006
177	0.3187268588
178	0.3187237016
179	0.3187165085
180	0.3187088622
181	0.3187030691
182	0.318695093
183	0.3186887779
184	0.3186804309
185	0.3186741017
186	0.3186673194
187	0.3186589306
188	0.3186524775
189	0.3186495392
190	0.3186395709
191	0.3186326505
192	0.3186266088
193	0.3186211025
194	0.3186151155
195	0.3186113805
196	0.3186052972
197	0.3186012599
198	0.3185916608
199	0.3185841077
200	0.3185753458
201	0.3185685889
202	0.3185628756
203	0.318557533
204	0.318552259
205	0.318546051
206	0.3185394308
207	0.3185328104
208	0.3185297337
209	0.3185247065
210	0.3185162589
211	0.318510737
212	0.3185061903
213	0.3185010253
214	0.3184968905
215	0.3184931541
216	0.3184869998
217	0.3184806806
218	0.3184754878
219	0.3184684265
220	0.3184644012
221	0.3184598813
222	0.3184572435
223	0.318454743
224	0.3184502917
225	0.3184453731
226	0.3184414712
227	0.3184392454
228	0.318433942
229	0.3184276355
230	0.3184234036
231	0.3184199823
232	0.3184111747
233	0.318408083
234	0.3184032051
235	0.3184011577
236	0.3183978186
237	0.3183924458
238	0.3183894501
239	0.3183853964
240	0.3183736195
241	0.3183691808
242	0.3183635326
243	0.3183581592
244	0.3183514389
245	0.3183465463
246	0.3183430967
247	0.3183351941
248	0.3183305623
249	0.3183275249
250	0.3183235665
251	0.3183212575
252	0.3183178076
253	0.3183147563
254	0.3183093683
255	0.3183054235
256	0.3183014511
257	0.3182952382
258	0.3182922004
259	0.318289465
260	0.3182849014
261	0.3182816848
262	0.3182773822
263	0.318272241
264	0.3182685707
265	0.3182645841
266	0.3182586316
267	0.318251868
268	0.3182492972
269	0.3182447192
270	0.3182428633
271	0.3182347657
272	0.3182312461
273	0.3182286339
274	0.3182254168
275	0.3182212647
276	0.3182172225
277	0.3182116954
278	0.3182065257
279	0.3182036933
280	0.3182007921
281	0.3181970384
282	0.318194536
283	0.3181906447
284	0.3181858047
285	0.3181838521
286	0.3181807858
287	0.3181770456
288	0.3181724528
289	0.3181685888
290	0.3181665674
291	0.3181627308
292	0.3181556076
293	0.3181504369
294	0.3181487042
295	0.3181446474
296	0.3181428046
297	0.3181404254
298	0.3181358047
299	0.3181324078
300	0.3181289283
301	0.3181269067
302	0.3181243624
303	0.3181185173
304	0.3181169082
305	0.3181113656
306	0.3181075283
307	0.3181042137
308	0.3181011741
309	0.3180955899
310	0.3180935268
311	0.3180891391
312	0.3180863332
313	0.3180841325
314	0.3180796347
315	0.3180748479
316	0.3180665535
317	0.3180644902
318	0.318060446
319	0.3180576673
320	0.3180512846
321	0.3180486847
322	0.3180439387
323	0.3180379959
324	0.3180371843
325	0.3180338276
326	0.318031255
327	0.3180288201
328	0.31802622
329	0.3180224229
330	0.3180194101
331	0.3180167411
332	0.3180136594
333	0.3180112243
334	0.3180079911
335	0.3180054459
336	0.3180012359
337	0.3179992822
338	0.3179961728
339	0.3179911234
340	0.3179857162
341	0.317980474
342	0.3179779698
343	0.3179727412
344	0.3179708424
345	0.3179684207
346	0.3179640451
347	0.3179581283
348	0.317957055
349	0.317954702
350	0.3179514821
351	0.317946831
352	0.3179441339
353	0.3179415331
354	0.3179364416
355	0.3179349416
356	0.3179322031
357	0.3179275518
358	0.3179243178
359	0.3179211664
360	0.3179194049
361	0.3179176434
362	0.3179145194
363	0.317913157
364	0.3179123863
365	0.3179081063
366	0.3179047345
367	0.3179001791
368	0.3178985
369	0.3178964769
370	0.3178943436
371	0.3178909304
372	0.3178893752
373	0.3178845718
374	0.3178803327
375	0.3178780204
376	0.3178756806
377	0.3178695144
378	0.3178668717
379	0.317858682
380	0.317854704
381	0.3178531348
382	0.3178507811
383	0.3178485374
384	0.3178463763
385	0.3178435132
386	0.3178417375
387	0.3178398104
388	0.3178378419
389	0.3178351164
390	0.3178274902
391	0.317826031
392	0.3178246407
393	0.3178198501
394	0.3178157891
395	0.317812554
396	0.3178094152
397	0.3178051338
398	0.3178033028
399	0.317801279
